qualification_code,qualification_type,category,name
T,국가기술자격      ,기능사,굴착기운전기능사
T,국가기술자격      ,기능사,미용사(네일)
T,국가기술자격      ,기능사,미용사(일반)
T,국가기술자격      ,기능사,미용사(피부)
T,국가기술자격      ,기능사,양식조리기능사
T,국가기술자격      ,기능사,전기기능사
T,국가기술자격      ,기능사,제과기능사
T,국가기술자격      ,기능사,제빵기능사
T,국가기술자격      ,기능사,지게차운전기능사
T,국가기술자격      ,기능사,한식조리기능사
T,국가기술자격      ,산업기사,가스산업기사
T,국가기술자격      ,산업기사,건설안전산업기사
T,국가기술자격      ,산업기사,공조냉동기계산업기사
T,국가기술자격      ,산업기사,기계정비산업기사
T,국가기술자격      ,산업기사,사무자동화산업기사
T,국가기술자격      ,산업기사,산업안전산업기사
T,국가기술자격      ,산업기사,소방설비산업기사(전기분야)
T,국가기술자격      ,산업기사,위험물산업기사
T,국가기술자격      ,산업기사,전기산업기사
T,국가기술자격      ,산업기사,정보처리산업기사
T,국가기술자격      ,기사,건설안전기사
T,국가기술자격      ,기사,건축기사
T,국가기술자격      ,기사,대기환경기사
T,국가기술자격      ,기사,빅데이터분석기사
T,국가기술자격      ,기사,사회조사분석사2급
T,국가기술자격      ,기사,산업안전기사
T,국가기술자격      ,기사,소방설비기사(기계분야)
T,국가기술자격      ,기사,소방설비기사(전기분야)
T,국가기술자격      ,기사,임상심리사2급
T,국가기술자격      ,기사,전기공사기사
T,국가기술자격      ,기사,전기기사
T,국가기술자격      ,기사,정보처리기사
T,국가기술자격      ,기사,직업상담사2급
T,국가기술자격      ,기사,텔레마케팅관리사
T,국가기술자격      ,대한상공회의소 시행종목,비서1급
T,국가기술자격      ,대한상공회의소 시행종목,워드프로세서
T,국가기술자격      ,대한상공회의소 시행종목,전산회계운용사2급
T,국가기술자격      ,대한상공회의소 시행종목,전산회계운용사3급
T,국가기술자격      ,대한상공회의소 시행종목,컴퓨터활용능력1급
T,국가기술자격      ,대한상공회의소 시행종목,컴퓨터활용능력2급
