qualification_code,qualification_type,category,name
S,국가전문자격      ,가맹거래사,가맹거래사
S,국가전문자격      ,감정사,감정사
S,국가전문자격      ,감정평가사,감정평가사
S,국가전문자격      ,검량사,검량사
S,국가전문자격      ,검수사,검수사
S,국가전문자격      ,경영지도사,경영지도사(1차공통)
S,국가전문자격      ,경영지도사,경영지도사(마케팅)
S,국가전문자격      ,경영지도사,경영지도사(생산관리)
S,국가전문자격      ,경영지도사,경영지도사(인적자원관리)
S,국가전문자격      ,경영지도사,경영지도사(재무관리)
S,국가전문자격      ,공인노무사,공인노무사
S,국가전문자격      ,공인중개사,공인중개사
S,국가전문자격      ,관세사,관세사
S,국가전문자격      ,기술지도사,기술지도사(1차공통)
S,국가전문자격      ,기술지도사,기술지도사(금속)
S,국가전문자격      ,기술지도사,기술지도사(기계)
S,국가전문자격      ,기술지도사,기술지도사(기술혁신관리)
S,국가전문자격      ,기술지도사,기술지도사(생명공학)
S,국가전문자격      ,기술지도사,기술지도사(생산관리)
S,국가전문자격      ,기술지도사,기술지도사(섬유)
S,국가전문자격      ,기술지도사,기술지도사(전기전자)
S,국가전문자격      ,기술지도사,기술지도사(정보기술관리)
S,국가전문자격      ,기술지도사,기술지도사(정보처리)
S,국가전문자격      ,기술지도사,기술지도사(화공)
S,국가전문자격      ,기술지도사,기술지도사(환경)
S,국가전문자격      ,물류관리사,물류관리사
S,국가전문자격      ,변리사,변리사
S,국가전문자격      ,사회복지사 1급,사회복지사 1급
S,국가전문자격      ,세무사,세무사
S,국가전문자격      ,주택관리사보,주택관리사보
S,국가전문자격      ,청소년상담사,1급 청소년상담사
S,국가전문자격      ,청소년상담사,2급 청소년상담사
S,국가전문자격      ,청소년상담사,3급 청소년상담사
S,국가전문자격      ,청소년지도사,1급 청소년지도사
S,국가전문자격      ,청소년지도사,2급 청소년지도사
S,국가전문자격      ,청소년지도사,3급 청소년지도사
S,국가전문자격      ,행정사,외국어번역행정사
S,국가전문자격      ,행정사,일반행정사
S,국가전문자격      ,행정사,해사행정사
S,국가전문자격      ,호텔경영사,호텔경영사
S,국가전문자격      ,호텔관리사,호텔관리사
S,국가전문자격      ,호텔서비스사,호텔서비스사
