종목명,항목,내용
가구도장기능사,실시기관 홈페이지,http://www.q-net.or.kr
가구도장기능사,수행직무,"목재제품의 표면을 각종 재료와 공구로 조정하고 조정된 바탕 위에 붓, 스프레이건 등  도장용구로 용도와 목적에 맞는 도료를 일련의 공정에 따라 칠하고 건조 및 갈기를  반복하여 가구를 보호하고 미관을 살리는 도장작업 수행."
가구도장기능사,변천과정,1982년 가구도장기능사2급으로 신설된 후 1999년 가구도장기능사로 개정.
가구도장기능사,개요,목제품의 고급화에 따라 도장도 고급화되고 도료 및 도장공구와 공법이 발전하고 있기 때문에 가구의 품질에 영향을 주는 도장의 고급화를 위하여 숙련 기능인력양성이 필요 하여 자격제도 신설.
가구도장기능사,실시기관명,한국산업인력공단
가구도장기능사,진로 및 전망,"- 대규모 가구제작업체, 중소규모 가구제작업체, 중고가구 보수 및 도장업체, 악기제조   업체, 선박제조업체, 자동차제조업체 등에 진출하여 제품 피도면의 바탕처리, 도료   의 도장, 마무리 광내기 등을 담당할 수 있다. - 중고가구를 새롭게 연출하고자 하는 소비자들이 늘어나고 있고, 도장에 관한 전문적   이고 포괄적인 지식과 기능을 가지고 있으면 기존의 목재도장분야 뿐만아니라 요즘   은 철골구조, 선박, 자동차 등 철제 도장 분야에도 취업하는 등 활동범위가 확대되   고 있다. 관련업체에서의 급격한 인력수요는 예상되지 않지만 대기업에서는 채용시    자격증 소지자를 우대하는 편이고 채용 후에도 대부분 별도의 자격수당을 지급하고    있어 자격증 취득시 취업이 유리한 편이다."
가구도장기능사,취득방법,"① 시 행 처 : 한국산업인력공단 (☎ 02-3271-9190~1) ② 훈련기관 : 인정직업훈련원, 직업전문학교 등      ③ 시험과목    - 필기 : 1.색채  2.가구도장재료  3.가구도장   - 실기 : 가구도장작업 ④ 검정방법   - 필기 : 전과목 혼합, 객관식 60문항 (총 60분)   - 실기 : 작업형(9시간 정도) ⑤ 합격기준    - 필기·실기 : 100점을 만점으로 하여 60점 이상"
가구제작기능사,개요,주문생산에 의한 소량의 가구제작에서 이제는 자동화 공정에 의한 대량생산 체제가 도입 됨에 따라 업체에서는 가구제작 업무를 수행할 숙련 기능공을 요구하고 있다. 이에 따 라 일정한 자격제도를 규정하고 현장에서 필요로 하는 기능인력을 양성 하고자 하는 목 적으로 시행. 
가구제작기능사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 전문대학의 가구디자인과, 가구실내디자인과, 공업디자인과 등 관련학과③ 훈련기관 : 한국산업인력관리공단 산하 직업훈련원과 직업훈련기관의               가구제작에 관한 직업훈련(12개월 과정).④ 시험과목    - 필기 : 1.가구제도  2.가구재료  3.가구공작   - 실기 : 가구제작작업⑤ 검정방법   - 필기 : 전과목 혼합, 객관식 60문항 (60분)   - 실기 : 작업형(5시간 정도)⑥ 합격기준    - 필기·실기 : 100점을 만점으로 하여 60점 이상 "
가구제작기능사,진로 및 전망,"- 목재가구제작업체, 금속가구제작업체, 주방가구제작업체, 매트리스 및 내장가구 제작   업체, 전통공예가구제작업체, 인테리어전문업체, 가구수리·보수전문업체 등에 취업   할 수 있다. - 가구제작업체가 대부분 영세하고 국제통화기금(IMF) 관리체제이후 내수시장의 감   소, 수출부진 등으로 가구업체와 종사자수가 줄어든 상태이나 경기회복과 함께 주문   가구, 고급가구를 중심으로 소비증가가 예상된다. 또한 가구제작은 자동화에 한계   가 있고 소비자의 다양한 기호를 만족시켜야 하는 공예품적인 성격이 강하기 때문에    실용적인 측면과 장식적인 측면을 고루 만족시켜줄 수 있는 숙련기능공의 수요는 줄   어들지 않을 전망이다."
가구제작기능사,수행직무,"목재나 금속, 플라스틱재의 자재와 부속품을 가공하고 조립하여 제작도면과 시방서에 따 라 재료 절단, 연마, 도장, 조립 등을 거친 후 사용하기 편리하고 아름다운 각종 가구 를 제작 "
가구제작기능사,변천과정,1974년 가구제작기능사2급으로 신설된 후 1999년 가구제작기능사로 변경. 
가구제작기능사,위 자격취득자에 대한 법령상 우대현황,▣ 국가를 당사자로 하는 계약에 관한 법률 □ 동법 시행규칙 제38조 (원가계산을 할 때 단위당 가격의 기준)  ▣ 고등학교 졸업학력 검정고시 규칙  □ 동규칙 제12조 (과목면제)   ▣ 교원자격검정령  □ 동령 시행규칙 제9조 (무시험검정의 신청) ▣ 국가공무원법 □ 동법 제36조의2 (채용시험의 가점) ▣ 국회인사규칙 □ 동규칙 제20조 (특별채용의 요건) ▣ 비상대비자원 관리법 □ 동법 제2조 (대상자원의 범위) ▣ 공직자윤리법의 시행에 관한 대법원규칙 □ 동규칙 제26조 (취업승인) ▣ 기능대학법 □ 동법 시행령 제10조 (다기능기술자과정의 학생선발방법) ▣ 국가기술자격법 □ 동법 제14조 (국가기술자격 취득자에 대한 우대)  □ 동법 시행령 제27조 (국가기술자격취득자의 취업 등에 대한 우대)  ▣ 근로자직업능력개발법 □ 동법 제21조 (근로자의 자율적 직업능력개발 지원)  □ 동법 제28조 (직업능력개발훈련교사의 자격취득) ▣ 지역균형개발 및 지방중소기업 육성에 관한 법률 □ 동법 제48조 (인력의 개발 및 지역정착)  □ 동법 시행령 제59조 (인력의 지역정착지원) ▣ 독학에 의한 학위취득에 관한 법률 □ 동법 시행령 제9조 (시험과목면제 대상) ▣ 석유 및 석유대체연료 사업법 □ 동법 시행규칙 제29조 (품질검사기관의 지정기준 및 절차) ▣ 군인사법 □ 동법 시행규칙 제14조 (부사관의 임용<개정 2001.5.19>)▣ 경찰공무원임용령 □ 동령 제16조 (특별채용의 요건) ▣ 지방자치단체를 당사자로 하는 계약에 관한 법률 □ 동법 시행령 제57조 (주민참여감독자의 자격)  □ 동법 시행령 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 중소기업인력지원 특별법 □ 동법 제28조 (근로자의 창업지원 등)  
가구제작기능사,실시기관명,한국산업인력공단 
가구제작기능사,실시기관 홈페이지,http://www.q-net.or.kr
